Grid,Left Image,Right Image, Result, Start Timestamp, End Timestamp
1,./images/grid_1/1_2.jpg,./images/grid_1/1_5.jpg,left,1598123710881,1598123714144
1,./images/grid_1/1_5.jpg,./images/grid_1/1_6.jpg,right,1598123714146,1598123715649
1,./images/grid_1/1_1.jpg,./images/grid_1/1_5.jpg,left,1598123715651,1598123717562
1,./images/grid_1/1_1.jpg,./images/grid_1/1_2.jpg,left,1598123717564,1598123719040
1,./images/grid_1/1_4.jpg,./images/grid_1/1_6.jpg,right,1598123719041,1598123721265
1,./images/grid_1/1_3.jpg,./images/grid_1/1_5.jpg,left,1598123721267,1598123722861
1,./images/grid_1/1_2.jpg,./images/grid_1/1_3.jpg,right,1598123722865,1598123723811
1,./images/grid_1/1_4.jpg,./images/grid_1/1_5.jpg,left,1598123723813,1598123724909
1,./images/grid_1/1_2.jpg,./images/grid_1/1_4.jpg,right,1598123724911,1598123725779
1,./images/grid_1/1_1.jpg,./images/grid_1/1_3.jpg,right,1598123725781,1598123727164
1,./images/grid_1/1_1.jpg,./images/grid_1/1_6.jpg,left,1598123727167,1598123728569
1,./images/grid_1/1_2.jpg,./images/grid_1/1_6.jpg,right,1598123728572,1598123729536
1,./images/grid_1/1_3.jpg,./images/grid_1/1_4.jpg,left,1598123729539,1598123730711
1,./images/grid_1/1_1.jpg,./images/grid_1/1_4.jpg,right,1598123730712,1598123731872
1,./images/grid_1/1_3.jpg,./images/grid_1/1_6.jpg,left,1598123731874,1598123733889
2,./images/grid_2/2_2.jpg,./images/grid_2/2_6.jpg,left,1598123734798,1598123737117
2,./images/grid_2/2_1.jpg,./images/grid_2/2_6.jpg,right,1598123737119,1598123738753
2,./images/grid_2/2_1.jpg,./images/grid_2/2_3.jpg,right,1598123738756,1598123740229
2,./images/grid_2/2_2.jpg,./images/grid_2/2_3.jpg,left,1598123740231,1598123741497
2,./images/grid_2/2_2.jpg,./images/grid_2/2_4.jpg,left,1598123741499,1598123742840
2,./images/grid_2/2_1.jpg,./images/grid_2/2_2.jpg,right,1598123742843,1598123743755
2,./images/grid_2/2_1.jpg,./images/grid_2/2_4.jpg,right,1598123743758,1598123744736
2,./images/grid_2/2_2.jpg,./images/grid_2/2_5.jpg,left,1598123744739,1598123746067
2,./images/grid_2/2_4.jpg,./images/grid_2/2_5.jpg,right,1598123746071,1598123748907
2,./images/grid_2/2_5.jpg,./images/grid_2/2_6.jpg,left,1598123748909,1598123749924
2,./images/grid_2/2_3.jpg,./images/grid_2/2_5.jpg,right,1598123749926,1598123750976
2,./images/grid_2/2_3.jpg,./images/grid_2/2_4.jpg,right,1598123750977,1598123751842
2,./images/grid_2/2_4.jpg,./images/grid_2/2_6.jpg,left,1598123751846,1598123752640
2,./images/grid_2/2_1.jpg,./images/grid_2/2_5.jpg,right,1598123752644,1598123753500
2,./images/grid_2/2_3.jpg,./images/grid_2/2_6.jpg,left,1598123753502,1598123754459
