Grid,Left Image,Right Image, Result, Start Timestamp, End Timestamp
1,./images/grid_1/1_3.jpg,./images/grid_1/1_5.jpg,left,1598124118388,1598124123019
1,./images/grid_1/1_1.jpg,./images/grid_1/1_4.jpg,right,1598124123021,1598124124754
1,./images/grid_1/1_2.jpg,./images/grid_1/1_3.jpg,right,1598124124756,1598124126762
1,./images/grid_1/1_3.jpg,./images/grid_1/1_4.jpg,right,1598124126765,1598124128159
1,./images/grid_1/1_5.jpg,./images/grid_1/1_6.jpg,right,1598124128160,1598124130548
1,./images/grid_1/1_4.jpg,./images/grid_1/1_5.jpg,left,1598124130550,1598124131912
1,./images/grid_1/1_1.jpg,./images/grid_1/1_3.jpg,left,1598124131914,1598124134422
1,./images/grid_1/1_1.jpg,./images/grid_1/1_5.jpg,left,1598124134424,1598124135466
1,./images/grid_1/1_1.jpg,./images/grid_1/1_6.jpg,right,1598124135469,1598124139740
1,./images/grid_1/1_4.jpg,./images/grid_1/1_6.jpg,left,1598124139743,1598124141255
1,./images/grid_1/1_1.jpg,./images/grid_1/1_2.jpg,left,1598124141257,1598124143029
1,./images/grid_1/1_2.jpg,./images/grid_1/1_4.jpg,right,1598124143033,1598124144493
1,./images/grid_1/1_3.jpg,./images/grid_1/1_6.jpg,right,1598124144497,1598124147136
1,./images/grid_1/1_2.jpg,./images/grid_1/1_6.jpg,right,1598124147139,1598124148119
1,./images/grid_1/1_2.jpg,./images/grid_1/1_5.jpg,right,1598124148120,1598124152077
2,./images/grid_2/2_1.jpg,./images/grid_2/2_3.jpg,right,1598124154771,1598124158444
2,./images/grid_2/2_3.jpg,./images/grid_2/2_4.jpg,right,1598124158445,1598124159335
2,./images/grid_2/2_1.jpg,./images/grid_2/2_6.jpg,right,1598124159337,1598124160804
2,./images/grid_2/2_1.jpg,./images/grid_2/2_2.jpg,left,1598124160805,1598124162361
2,./images/grid_2/2_5.jpg,./images/grid_2/2_6.jpg,right,1598124162363,1598124166199
2,./images/grid_2/2_1.jpg,./images/grid_2/2_5.jpg,right,1598124166201,1598124167645
2,./images/grid_2/2_1.jpg,./images/grid_2/2_4.jpg,right,1598124167647,1598124170321
2,./images/grid_2/2_2.jpg,./images/grid_2/2_4.jpg,right,1598124170323,1598124172000
2,./images/grid_2/2_2.jpg,./images/grid_2/2_3.jpg,right,1598124172002,1598124176037
2,./images/grid_2/2_3.jpg,./images/grid_2/2_5.jpg,right,1598124176039,1598124177654
2,./images/grid_2/2_4.jpg,./images/grid_2/2_6.jpg,left,1598124177657,1598124183189
2,./images/grid_2/2_2.jpg,./images/grid_2/2_5.jpg,right,1598124183192,1598124185401
2,./images/grid_2/2_4.jpg,./images/grid_2/2_5.jpg,left,1598124185403,1598124187097
2,./images/grid_2/2_3.jpg,./images/grid_2/2_6.jpg,right,1598124187099,1598124188651
2,./images/grid_2/2_2.jpg,./images/grid_2/2_6.jpg,right,1598124188654,1598124189521
