Grid,Left Image,Right Image, Result, Start Timestamp, End Timestamp
1,./images/grid_1/1_2.jpg,./images/grid_1/1_6.jpg,right,1597677092528,1597677096015
1,./images/grid_1/1_3.jpg,./images/grid_1/1_6.jpg,right,1597677096016,1597677098509
1,./images/grid_1/1_2.jpg,./images/grid_1/1_5.jpg,right,1597677098509,1597677102302
1,./images/grid_1/1_2.jpg,./images/grid_1/1_3.jpg,right,1597677102302,1597677103361
1,./images/grid_1/1_3.jpg,./images/grid_1/1_5.jpg,left,1597677103362,1597677105187
1,./images/grid_1/1_4.jpg,./images/grid_1/1_5.jpg,left,1597677105187,1597677106540
1,./images/grid_1/1_5.jpg,./images/grid_1/1_6.jpg,right,1597677106540,1597677108153
1,./images/grid_1/1_2.jpg,./images/grid_1/1_4.jpg,right,1597677108154,1597677109042
1,./images/grid_1/1_1.jpg,./images/grid_1/1_2.jpg,left,1597677109042,1597677110802
1,./images/grid_1/1_4.jpg,./images/grid_1/1_6.jpg,left,1597677110803,1597677111685
1,./images/grid_1/1_1.jpg,./images/grid_1/1_3.jpg,right,1597677111686,1597677113793
1,./images/grid_1/1_3.jpg,./images/grid_1/1_4.jpg,right,1597677113793,1597677116630
1,./images/grid_1/1_1.jpg,./images/grid_1/1_6.jpg,right,1597677116630,1597677117975
1,./images/grid_1/1_1.jpg,./images/grid_1/1_4.jpg,right,1597677117975,1597677118887
1,./images/grid_1/1_1.jpg,./images/grid_1/1_5.jpg,left,1597677118887,1597677120493
2,./images/grid_2/2_2.jpg,./images/grid_2/2_5.jpg,left,1597677122690,1597677126097
2,./images/grid_2/2_1.jpg,./images/grid_2/2_5.jpg,right,1597677126097,1597677127490
2,./images/grid_2/2_4.jpg,./images/grid_2/2_6.jpg,left,1597677127491,1597677128885
2,./images/grid_2/2_3.jpg,./images/grid_2/2_5.jpg,right,1597677128885,1597677130417
2,./images/grid_2/2_2.jpg,./images/grid_2/2_3.jpg,left,1597677130417,1597677132700
2,./images/grid_2/2_3.jpg,./images/grid_2/2_6.jpg,left,1597677132701,1597677134069
2,./images/grid_2/2_1.jpg,./images/grid_2/2_2.jpg,right,1597677134070,1597677135796
2,./images/grid_2/2_4.jpg,./images/grid_2/2_5.jpg,right,1597677135797,1597677137883
2,./images/grid_2/2_1.jpg,./images/grid_2/2_4.jpg,right,1597677137883,1597677138901
2,./images/grid_2/2_5.jpg,./images/grid_2/2_6.jpg,left,1597677138902,1597677140286
2,./images/grid_2/2_2.jpg,./images/grid_2/2_6.jpg,left,1597677140287,1597677141412
2,./images/grid_2/2_1.jpg,./images/grid_2/2_3.jpg,right,1597677141413,1597677144721
2,./images/grid_2/2_3.jpg,./images/grid_2/2_4.jpg,left,1597677144721,1597677147492
2,./images/grid_2/2_2.jpg,./images/grid_2/2_4.jpg,left,1597677147492,1597677148625
2,./images/grid_2/2_1.jpg,./images/grid_2/2_6.jpg,left,1597677148625,1597677150556
