Grid,Left Image,Right Image, Result, Start Timestamp, End Timestamp
1,./images/grid_1/1_5.jpg,./images/grid_1/1_6.jpg,right,1597673839464,1597673845070
1,./images/grid_1/1_1.jpg,./images/grid_1/1_4.jpg,right,1597673845071,1597673846652
1,./images/grid_1/1_2.jpg,./images/grid_1/1_6.jpg,right,1597673846652,1597673847752
1,./images/grid_1/1_2.jpg,./images/grid_1/1_4.jpg,right,1597673847753,1597673849537
1,./images/grid_1/1_2.jpg,./images/grid_1/1_3.jpg,right,1597673849537,1597673852446
1,./images/grid_1/1_1.jpg,./images/grid_1/1_2.jpg,left,1597673852446,1597673854410
1,./images/grid_1/1_1.jpg,./images/grid_1/1_3.jpg,left,1597673854410,1597673855770
1,./images/grid_1/1_4.jpg,./images/grid_1/1_6.jpg,left,1597673855771,1597673856977
1,./images/grid_1/1_3.jpg,./images/grid_1/1_6.jpg,right,1597673856977,1597673858559
1,./images/grid_1/1_3.jpg,./images/grid_1/1_4.jpg,right,1597673858559,1597673859887
1,./images/grid_1/1_2.jpg,./images/grid_1/1_5.jpg,right,1597673859888,1597673862098
1,./images/grid_1/1_4.jpg,./images/grid_1/1_5.jpg,left,1597673862098,1597673864005
1,./images/grid_1/1_1.jpg,./images/grid_1/1_5.jpg,left,1597673864006,1597673865334
1,./images/grid_1/1_3.jpg,./images/grid_1/1_5.jpg,right,1597673865334,1597673866776
1,./images/grid_1/1_1.jpg,./images/grid_1/1_6.jpg,right,1597673866776,1597673868553
2,./images/grid_2/2_2.jpg,./images/grid_2/2_6.jpg,right,1597673870298,1597673871807
2,./images/grid_2/2_1.jpg,./images/grid_2/2_2.jpg,right,1597673871807,1597673872932
2,./images/grid_2/2_4.jpg,./images/grid_2/2_5.jpg,left,1597673872932,1597673875109
2,./images/grid_2/2_3.jpg,./images/grid_2/2_5.jpg,right,1597673875109,1597673877277
2,./images/grid_2/2_2.jpg,./images/grid_2/2_3.jpg,left,1597673877277,1597673879127
2,./images/grid_2/2_1.jpg,./images/grid_2/2_6.jpg,right,1597673879127,1597673880561
2,./images/grid_2/2_5.jpg,./images/grid_2/2_6.jpg,left,1597673880561,1597673882151
2,./images/grid_2/2_4.jpg,./images/grid_2/2_6.jpg,right,1597673882152,1597673883791
2,./images/grid_2/2_3.jpg,./images/grid_2/2_6.jpg,right,1597673883791,1597673884581
2,./images/grid_2/2_2.jpg,./images/grid_2/2_4.jpg,right,1597673884581,1597673886415
2,./images/grid_2/2_1.jpg,./images/grid_2/2_4.jpg,right,1597673886416,1597673887165
2,./images/grid_2/2_2.jpg,./images/grid_2/2_5.jpg,left,1597673887166,1597673888715
2,./images/grid_2/2_1.jpg,./images/grid_2/2_5.jpg,right,1597673888715,1597673890018
2,./images/grid_2/2_3.jpg,./images/grid_2/2_4.jpg,right,1597673890019,1597673891364
2,./images/grid_2/2_1.jpg,./images/grid_2/2_3.jpg,right,1597673891365,1597673892611
