Grid,Left Image,Right Image, Result, Start Timestamp, End Timestamp
1,./images/grid_1/1_4.jpg,./images/grid_1/1_6.jpg,right,1597666562288,1597666565977
1,./images/grid_1/1_2.jpg,./images/grid_1/1_4.jpg,right,1597666565978,1597666567696
1,./images/grid_1/1_3.jpg,./images/grid_1/1_5.jpg,left,1597666567697,1597666569285
1,./images/grid_1/1_4.jpg,./images/grid_1/1_5.jpg,left,1597666569286,1597666570746
1,./images/grid_1/1_1.jpg,./images/grid_1/1_2.jpg,left,1597666570746,1597666573412
1,./images/grid_1/1_2.jpg,./images/grid_1/1_3.jpg,right,1597666573412,1597666574927
1,./images/grid_1/1_1.jpg,./images/grid_1/1_3.jpg,right,1597666574927,1597666577103
1,./images/grid_1/1_3.jpg,./images/grid_1/1_6.jpg,right,1597666577103,1597666579284
1,./images/grid_1/1_2.jpg,./images/grid_1/1_5.jpg,right,1597666579284,1597666581249
1,./images/grid_1/1_1.jpg,./images/grid_1/1_6.jpg,right,1597666581249,1597666583557
1,./images/grid_1/1_1.jpg,./images/grid_1/1_5.jpg,left,1597666583558,1597666585764
1,./images/grid_1/1_5.jpg,./images/grid_1/1_6.jpg,right,1597666585764,1597666587176
1,./images/grid_1/1_3.jpg,./images/grid_1/1_4.jpg,left,1597666587176,1597666589284
1,./images/grid_1/1_1.jpg,./images/grid_1/1_4.jpg,right,1597666589284,1597666591397
1,./images/grid_1/1_2.jpg,./images/grid_1/1_6.jpg,right,1597666591398,1597666592670
2,./images/grid_2/2_2.jpg,./images/grid_2/2_3.jpg,right,1597666597493,1597666599880
2,./images/grid_2/2_1.jpg,./images/grid_2/2_4.jpg,left,1597666599880,1597666602504
2,./images/grid_2/2_2.jpg,./images/grid_2/2_4.jpg,right,1597666602504,1597666603963
2,./images/grid_2/2_1.jpg,./images/grid_2/2_5.jpg,left,1597666603963,1597666605760
2,./images/grid_2/2_4.jpg,./images/grid_2/2_6.jpg,right,1597666605760,1597666607509
2,./images/grid_2/2_1.jpg,./images/grid_2/2_6.jpg,left,1597666607509,1597666608539
2,./images/grid_2/2_1.jpg,./images/grid_2/2_2.jpg,left,1597666608540,1597666610117
2,./images/grid_2/2_3.jpg,./images/grid_2/2_5.jpg,left,1597666610118,1597666612182
2,./images/grid_2/2_2.jpg,./images/grid_2/2_5.jpg,right,1597666612182,1597666614129
2,./images/grid_2/2_2.jpg,./images/grid_2/2_6.jpg,right,1597666614129,1597666615245
2,./images/grid_2/2_3.jpg,./images/grid_2/2_6.jpg,left,1597666615246,1597666616280
2,./images/grid_2/2_1.jpg,./images/grid_2/2_3.jpg,left,1597666616281,1597666617306
2,./images/grid_2/2_4.jpg,./images/grid_2/2_5.jpg,right,1597666617307,1597666620726
2,./images/grid_2/2_5.jpg,./images/grid_2/2_6.jpg,right,1597666620726,1597666622274
2,./images/grid_2/2_3.jpg,./images/grid_2/2_4.jpg,left,1597666622274,1597666623626
