Grid,Left Image,Right Image, Result, Start Timestamp, End Timestamp
1,./images/grid_1/1_5.jpg,./images/grid_1/1_6.jpg,right,1597853964326,1597853969764
1,./images/grid_1/1_4.jpg,./images/grid_1/1_5.jpg,left,1597853969764,1597853977287
1,./images/grid_1/1_3.jpg,./images/grid_1/1_5.jpg,left,1597853977288,1597853979533
1,./images/grid_1/1_1.jpg,./images/grid_1/1_5.jpg,left,1597853979534,1597853982284
1,./images/grid_1/1_2.jpg,./images/grid_1/1_4.jpg,left,1597853982285,1597853986105
1,./images/grid_1/1_2.jpg,./images/grid_1/1_5.jpg,left,1597853986105,1597853987447
1,./images/grid_1/1_4.jpg,./images/grid_1/1_6.jpg,right,1597853987448,1597853989567
1,./images/grid_1/1_2.jpg,./images/grid_1/1_3.jpg,right,1597853989568,1597853991830
1,./images/grid_1/1_3.jpg,./images/grid_1/1_6.jpg,right,1597853991831,1597853993637
1,./images/grid_1/1_1.jpg,./images/grid_1/1_4.jpg,left,1597853993637,1597853997907
1,./images/grid_1/1_2.jpg,./images/grid_1/1_6.jpg,right,1597853997907,1597853999626
1,./images/grid_1/1_3.jpg,./images/grid_1/1_4.jpg,left,1597853999627,1597854001842
1,./images/grid_1/1_1.jpg,./images/grid_1/1_3.jpg,right,1597854001843,1597854004312
1,./images/grid_1/1_1.jpg,./images/grid_1/1_6.jpg,right,1597854004312,1597854005112
1,./images/grid_1/1_1.jpg,./images/grid_1/1_2.jpg,left,1597854005112,1597854010276
2,./images/grid_2/2_3.jpg,./images/grid_2/2_4.jpg,left,1597854012350,1597854017138
2,./images/grid_2/2_5.jpg,./images/grid_2/2_6.jpg,right,1597854017138,1597854019656
2,./images/grid_2/2_1.jpg,./images/grid_2/2_4.jpg,right,1597854019657,1597854021008
2,./images/grid_2/2_4.jpg,./images/grid_2/2_6.jpg,left,1597854021008,1597854023966
2,./images/grid_2/2_2.jpg,./images/grid_2/2_6.jpg,right,1597854023967,1597854026069
2,./images/grid_2/2_2.jpg,./images/grid_2/2_3.jpg,right,1597854026070,1597854026853
2,./images/grid_2/2_2.jpg,./images/grid_2/2_4.jpg,right,1597854026853,1597854027811
2,./images/grid_2/2_2.jpg,./images/grid_2/2_5.jpg,left,1597854027812,1597854031385
2,./images/grid_2/2_1.jpg,./images/grid_2/2_6.jpg,right,1597854031385,1597854034431
2,./images/grid_2/2_1.jpg,./images/grid_2/2_2.jpg,right,1597854034431,1597854036877
2,./images/grid_2/2_1.jpg,./images/grid_2/2_5.jpg,left,1597854036877,1597854038539
2,./images/grid_2/2_3.jpg,./images/grid_2/2_6.jpg,left,1597854038540,1597854039603
2,./images/grid_2/2_3.jpg,./images/grid_2/2_5.jpg,left,1597854039603,1597854040659
2,./images/grid_2/2_4.jpg,./images/grid_2/2_5.jpg,left,1597854040659,1597854042337
2,./images/grid_2/2_1.jpg,./images/grid_2/2_3.jpg,right,1597854042338,1597854043768
