Grid,Left Image,Right Image, Result, Start Timestamp, End Timestamp
1,./images/grid_1/1_1.jpg,./images/grid_1/1_4.jpg,right,1598112663317,1598112665660
1,./images/grid_1/1_4.jpg,./images/grid_1/1_6.jpg,left,1598112665663,1598112668087
1,./images/grid_1/1_3.jpg,./images/grid_1/1_4.jpg,right,1598112668090,1598112669976
1,./images/grid_1/1_2.jpg,./images/grid_1/1_4.jpg,right,1598112669981,1598112672983
1,./images/grid_1/1_4.jpg,./images/grid_1/1_5.jpg,left,1598112672986,1598112674484
1,./images/grid_1/1_3.jpg,./images/grid_1/1_5.jpg,left,1598112674488,1598112676890
1,./images/grid_1/1_1.jpg,./images/grid_1/1_5.jpg,right,1598112676892,1598112678477
1,./images/grid_1/1_1.jpg,./images/grid_1/1_3.jpg,right,1598112678479,1598112680517
1,./images/grid_1/1_1.jpg,./images/grid_1/1_6.jpg,left,1598112680521,1598112681973
1,./images/grid_1/1_1.jpg,./images/grid_1/1_2.jpg,left,1598112681976,1598112683319
1,./images/grid_1/1_2.jpg,./images/grid_1/1_5.jpg,right,1598112683321,1598112685026
1,./images/grid_1/1_2.jpg,./images/grid_1/1_6.jpg,right,1598112685028,1598112686020
1,./images/grid_1/1_2.jpg,./images/grid_1/1_3.jpg,right,1598112686021,1598112687970
1,./images/grid_1/1_3.jpg,./images/grid_1/1_6.jpg,right,1598112687972,1598112689815
1,./images/grid_1/1_5.jpg,./images/grid_1/1_6.jpg,right,1598112689817,1598112691592
2,./images/grid_2/2_5.jpg,./images/grid_2/2_6.jpg,left,1598112692508,1598112695719
2,./images/grid_2/2_1.jpg,./images/grid_2/2_4.jpg,right,1598112695721,1598112697901
2,./images/grid_2/2_1.jpg,./images/grid_2/2_3.jpg,left,1598112697904,1598112700833
2,./images/grid_2/2_3.jpg,./images/grid_2/2_6.jpg,left,1598112700835,1598112702587
2,./images/grid_2/2_1.jpg,./images/grid_2/2_5.jpg,right,1598112702589,1598112704488
2,./images/grid_2/2_3.jpg,./images/grid_2/2_4.jpg,right,1598112704490,1598112706215
2,./images/grid_2/2_2.jpg,./images/grid_2/2_6.jpg,left,1598112706216,1598112707669
2,./images/grid_2/2_2.jpg,./images/grid_2/2_3.jpg,right,1598112707670,1598112709105
2,./images/grid_2/2_4.jpg,./images/grid_2/2_6.jpg,left,1598112709108,1598112710360
2,./images/grid_2/2_1.jpg,./images/grid_2/2_6.jpg,left,1598112710362,1598112711962
2,./images/grid_2/2_1.jpg,./images/grid_2/2_2.jpg,left,1598112711964,1598112713522
2,./images/grid_2/2_3.jpg,./images/grid_2/2_5.jpg,right,1598112713525,1598112714585
2,./images/grid_2/2_2.jpg,./images/grid_2/2_4.jpg,right,1598112714587,1598112716469
2,./images/grid_2/2_2.jpg,./images/grid_2/2_5.jpg,right,1598112716470,1598112717361
2,./images/grid_2/2_4.jpg,./images/grid_2/2_5.jpg,right,1598112717363,1598112719480
