Grid,Left Image,Right Image, Result, Start Timestamp, End Timestamp
1,./images/grid_1/1_2.jpg,./images/grid_1/1_5.jpg,right,1597670375213,1597670379469
1,./images/grid_1/1_2.jpg,./images/grid_1/1_6.jpg,right,1597670379470,1597670381153
1,./images/grid_1/1_2.jpg,./images/grid_1/1_4.jpg,right,1597670381153,1597670382637
1,./images/grid_1/1_1.jpg,./images/grid_1/1_4.jpg,right,1597670382637,1597670384121
1,./images/grid_1/1_3.jpg,./images/grid_1/1_4.jpg,right,1597670384121,1597670386889
1,./images/grid_1/1_4.jpg,./images/grid_1/1_5.jpg,left,1597670386890,1597670389347
1,./images/grid_1/1_5.jpg,./images/grid_1/1_6.jpg,right,1597670389348,1597670391159
1,./images/grid_1/1_1.jpg,./images/grid_1/1_2.jpg,left,1597670391159,1597670393152
1,./images/grid_1/1_3.jpg,./images/grid_1/1_6.jpg,right,1597670393152,1597670395279
1,./images/grid_1/1_1.jpg,./images/grid_1/1_6.jpg,right,1597670395279,1597670396632
1,./images/grid_1/1_1.jpg,./images/grid_1/1_5.jpg,right,1597670396633,1597670403259
1,./images/grid_1/1_4.jpg,./images/grid_1/1_6.jpg,right,1597670403260,1597670405341
1,./images/grid_1/1_3.jpg,./images/grid_1/1_5.jpg,left,1597670405342,1597670407317
1,./images/grid_1/1_1.jpg,./images/grid_1/1_3.jpg,right,1597670407318,1597670409714
1,./images/grid_1/1_2.jpg,./images/grid_1/1_3.jpg,right,1597670409714,1597670410782
2,./images/grid_2/2_1.jpg,./images/grid_2/2_3.jpg,right,1597670413872,1597670417104
2,./images/grid_2/2_1.jpg,./images/grid_2/2_6.jpg,right,1597670417105,1597670419255
2,./images/grid_2/2_4.jpg,./images/grid_2/2_5.jpg,left,1597670419256,1597670421546
2,./images/grid_2/2_3.jpg,./images/grid_2/2_6.jpg,left,1597670421547,1597670424780
2,./images/grid_2/2_1.jpg,./images/grid_2/2_5.jpg,right,1597670424781,1597670426598
2,./images/grid_2/2_1.jpg,./images/grid_2/2_2.jpg,right,1597670426598,1597670427878
2,./images/grid_2/2_5.jpg,./images/grid_2/2_6.jpg,left,1597670427878,1597670431084
2,./images/grid_2/2_2.jpg,./images/grid_2/2_4.jpg,left,1597670431084,1597670432949
2,./images/grid_2/2_3.jpg,./images/grid_2/2_5.jpg,left,1597670432949,1597670437417
2,./images/grid_2/2_4.jpg,./images/grid_2/2_6.jpg,left,1597670437417,1597670438819
2,./images/grid_2/2_1.jpg,./images/grid_2/2_4.jpg,right,1597670438820,1597670440645
2,./images/grid_2/2_3.jpg,./images/grid_2/2_4.jpg,right,1597670440646,1597670441779
2,./images/grid_2/2_2.jpg,./images/grid_2/2_6.jpg,left,1597670441779,1597670443678
2,./images/grid_2/2_2.jpg,./images/grid_2/2_3.jpg,left,1597670443678,1597670445414
2,./images/grid_2/2_2.jpg,./images/grid_2/2_5.jpg,left,1597670445415,1597670446646
