tester,pwc_grid_1_rank,pwc_grid_1_2,pwc_grid_2_rank,pwc_grid_1_w
mh,"['1_1.jpg', '1_4.jpg', '1_6.jpg', '1_3.jpg', '1_NS.jpg', '1_2.jpg', '1_5.jpg', '1_ND.jpg']","[1.0, 0.57073233294857, 0.5635821469796075, 0.40656662819032957, 0.3861741695523919, 0.0, 0.0, 0.0]","['2_4.jpg', '2_6.jpg', '2_NS.jpg', '2_2.jpg', '2_5.jpg', '2_1.jpg', '2_3.jpg', '2_ND.jpg']","[1.0, 0.8214842674983945, 0.5968871357367825, 0.37602054857352535, 0.19362138030150136, 0.0, 0.0, 0.0]"
mr,"['1_6.jpg', '1_3.jpg', '1_4.jpg', '1_1.jpg', '1_5.jpg', '1_2.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.8446815079065619, 0.6420608513703564, 0.3819160978286969, 0.20711419064933284, 0.0, 0.0, 0.0]","['2_1.jpg', '2_3.jpg', '2_6.jpg', '2_5.jpg', '2_4.jpg', '2_2.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.7876540892309617, 0.6131030598836116, 0.33289531318440646, 0.20474313246980785, 0.0, 0.0, 0.0]"
lr,"['1_4.jpg', '1_6.jpg', '1_1.jpg', '1_5.jpg', '1_3.jpg', '1_2.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.6813933993604271, 0.6009810922412989, 0.38355739079139367, 0.1581545530752274, 0.0, 0.0, 0.0]","['2_6.jpg', '2_4.jpg', '2_2.jpg', '2_5.jpg', '2_3.jpg', '2_1.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.9724849849849849, 0.7314189189189189, 0.7112612612612612, 0.2536411411411411, 0.0, 0.0, 0.0]"
ts,"['1_6.jpg', '1_3.jpg', '1_1.jpg', '1_2.jpg', '1_4.jpg', '1_5.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.8111825969502008, 0.4203248853659404, 0.38545480396687165, 0.01706181352859631, 0.0, 0.0, 0.0]","['2_3.jpg', '2_4.jpg', '2_6.jpg', '2_2.jpg', '2_1.jpg', '2_5.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.8113610616604627, 0.5289852726978476, 0.3232561903220586, 0.20524356692021364, 0.0, 0.0, 0.0]"
lf,"['1_2.jpg', '1_4.jpg', '1_6.jpg', '1_3.jpg', '1_5.jpg', '1_NS.jpg', '1_1.jpg', '1_ND.jpg']","[1.0, 0.8352598348712968, 0.44782256758944466, 0.40103610166747605, 0.19265015379634126, 0.12022017160433868, 0.0, 0.0]","['2_5.jpg', '2_4.jpg', '2_6.jpg', '2_3.jpg', '2_2.jpg', '2_1.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.7791259241593133, 0.6128070593846888, 0.31305151442880996, 0.17764726925828764, 0.0, 0.0, 0.0]"
yz,"['1_2.jpg', '1_3.jpg', '1_5.jpg', '1_4.jpg', '1_6.jpg', '1_1.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.7924091347700225, 0.6388549372788679, 0.42695400450305565, 0.23116757799935672, 0.0, 0.0, 0.0]","['2_5.jpg', '2_2.jpg', '2_3.jpg', '2_1.jpg', '2_4.jpg', '2_6.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.7845993756503643, 0.5144046380258659, 0.422684703433923, 0.21983053367028393, 0.0, 0.0, 0.0]"
huy,"['1_4.jpg', '1_6.jpg', '1_3.jpg', '1_2.jpg', '1_1.jpg', '1_5.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.6855992979695585, 0.589554271189518, 0.37292341211002517, 0.10887523829697099, 0.0, 0.0, 0.0]","['2_4.jpg', '2_5.jpg', '2_6.jpg', '2_3.jpg', '2_1.jpg', '2_2.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.7387715044452142, 0.5978235769541624, 0.23522110610783972, 0.17873224800831314, 0.0, 0.0, 0.0]"
co,"['1_1.jpg', '1_3.jpg', '1_6.jpg', '1_4.jpg', '1_5.jpg', '1_2.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.9216630702836003, 0.8968865598027126, 0.5191507398273736, 0.23971177558569665, 0.0, 0.0, 0.0]","['2_4.jpg', '2_6.jpg', '2_5.jpg', '2_1.jpg', '2_3.jpg', '2_2.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.5916656277272161, 0.5680713128038898, 0.516612641815235, 0.1787807006607655, 0.0, 0.0, 0.0]"
tashi,"['1_6.jpg', '1_3.jpg', '1_1.jpg', '1_2.jpg', '1_4.jpg', '1_5.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.8111825969502008, 0.4203248853659404, 0.38545480396687165, 0.01706181352859631, 0.0, 0.0, 0.0]","['2_3.jpg', '2_4.jpg', '2_6.jpg', '2_2.jpg', '2_1.jpg', '2_5.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.8113610616604627, 0.5289852726978476, 0.3232561903220586, 0.20524356692021364, 0.0, 0.0, 0.0]"
hw,"['1_6.jpg', '1_2.jpg', '1_4.jpg', '1_1.jpg', '1_3.jpg', '1_5.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.8153695974148377, 0.357311161976572, 0.3365086845294197, 0.1546048202504376, 0.12972936582738656, 0.0, 0.0]","['2_2.jpg', '2_3.jpg', '2_4.jpg', '2_1.jpg', '2_6.jpg', '2_5.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.6930319591303313, 0.5126232624450516, 0.3628668171557561, 0.1614292503267197, 0.0, 0.0, 0.0]"
dao,"['1_4.jpg', '1_3.jpg', '1_5.jpg', '1_6.jpg', '1_2.jpg', '1_1.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.7760585342449323, 0.5475590740074368, 0.40134340890008396, 0.19749310303466477, 0.0, 0.0, 0.0]","['2_5.jpg', '2_4.jpg', '2_1.jpg', '2_3.jpg', '2_6.jpg', '2_2.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.8819520773796439, 0.5757937380271959, 0.3797380900040825, 0.20874289482774866, 0.0, 0.0, 0.0]"
yx,"['1_3.jpg', '1_6.jpg', '1_4.jpg', '1_1.jpg', '1_NS.jpg', '1_2.jpg', '1_5.jpg', '1_ND.jpg']","[1.0, 0.8340800050837224, 0.6340355225113589, 0.26435357290375877, 0.13255806564356748, 0.0, 0.0, 0.0]","['2_3.jpg', '2_4.jpg', '2_6.jpg', '2_2.jpg', '2_NS.jpg', '2_1.jpg', '2_5.jpg', '2_ND.jpg']","[1.0, 0.7530405295249275, 0.55570771789103, 0.39006814698881614, 0.08852587303139979, 0.0, 0.0, 0.0]"
xiao,"['1_4.jpg', '1_6.jpg', '1_3.jpg', '1_1.jpg', '1_5.jpg', '1_2.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.672129443559005, 0.6104913034439746, 0.45772988704871453, 0.440579308433234, 0.0, 0.0, 0.0]","['2_5.jpg', '2_4.jpg', '2_1.jpg', '2_3.jpg', '2_2.jpg', '2_6.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.8098388299769756, 0.5811849401692772, 0.4157019165288452, 0.21240717320102473, 0.0, 0.0, 0.0]"
hu,"['1_4.jpg', '1_6.jpg', '1_1.jpg', '1_3.jpg', '1_5.jpg', '1_2.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.6676291699944708, 0.5740308410640781, 0.2877987344105179, 0.12428580205197517, 0.0, 0.0, 0.0]","['2_4.jpg', '2_6.jpg', '2_5.jpg', '2_3.jpg', '2_1.jpg', '2_2.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.8817337011761288, 0.6803034703063743, 0.30121968926963844, 0.23402787861187743, 0.0, 0.0, 0.0]"
an,"['1_3.jpg', '1_4.jpg', '1_6.jpg', '1_1.jpg', '1_2.jpg', '1_5.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.634705971736818, 0.5870840297827077, 0.584105759003191, 0.144051056070506, 0.0, 0.0, 0.0]","['2_2.jpg', '2_5.jpg', '2_4.jpg', '2_3.jpg', '2_6.jpg', '2_1.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.7992632956863224, 0.6506134128892813, 0.41328503150780854, 0.19388718073609548, 0.0, 0.0, 0.0]"
jt,"['1_4.jpg', '1_6.jpg', '1_3.jpg', '1_1.jpg', '1_5.jpg', '1_2.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.6961952750203664, 0.5738164921702924, 0.3813776664755755, 0.12702531454605798, 0.0, 0.0, 0.0]","['2_2.jpg', '2_5.jpg', '2_3.jpg', '2_4.jpg', '2_1.jpg', '2_6.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.8443030882304471, 0.5458620348703075, 0.44804060512178245, 0.20012524307043275, 0.0, 0.0, 0.0]"
yq,"['1_6.jpg', '1_4.jpg', '1_3.jpg', '1_1.jpg', '1_5.jpg', '1_2.jpg', '1_NS.jpg', '1_ND.jpg']","[1.0, 0.7693475452196381, 0.5998062015503876, 0.19412144702842374, 0.16550387596899221, 0.0, 0.0, 0.0]","['2_2.jpg', '2_4.jpg', '2_3.jpg', '2_5.jpg', '2_6.jpg', '2_1.jpg', '2_NS.jpg', '2_ND.jpg']","[1.0, 0.7924634420697414, 0.40857392825896766, 0.3431758530183727, 0.18288338957630296, 0.0, 0.0, 0.0]"
